# sqrt_k_eta0 h omega_b omega_cdm A_s n_s
3.55905847e+00 7.09578867e-01 2.18961123e-02 1.17777079e-01 2.29657806e-09 9.70573623e-01
3.61858158e+00 7.05634923e-01 2.21538045e-02 1.24985739e-01 2.20071894e-09 9.59815116e-01
3.65499833e+00 7.04578258e-01 2.22705834e-02 1.23545717e-01 1.89983627e-09 9.63512630e-01
3.93380506e+00 6.91228605e-01 2.18920517e-02 1.21907940e-01 2.42489439e-09 9.60915090e-01
3.48458254e+00 7.02482426e-01 2.20605227e-02 1.22095088e-01 2.10009403e-09 9.70375239e-01
3.45729120e+00 6.83376929e-01 2.15259537e-02 1.12556957e-01 2.01392426e-09 9.67240581e-01
3.34681310e+00 7.02396542e-01 2.17872975e-02 1.21331531e-01 1.86405812e-09 9.64201828e-01
3.29160089e+00 6.80585282e-01 2.17385939e-02 1.21145399e-01 2.13779841e-09 9.61984454e-01
3.66625713e+00 7.26994844e-01 2.20139753e-02 1.20986696e-01 2.09881384e-09 9.69019246e-01
3.86543892e+00 6.81614769e-01 2.16901787e-02 1.20088738e-01 2.17583631e-09 9.62357903e-01
3.77251602e+00 6.99799362e-01 2.20100019e-02 1.22680862e-01 2.18529650e-09 9.61176525e-01
3.59530134e+00 6.53915322e-01 2.18695062e-02 1.15126792e-01 1.96673903e-09 9.69298491e-01
3.74472830e+00 7.13800037e-01 2.22003087e-02 1.17987650e-01 2.03777258e-09 9.61315326e-01
3.45475730e+00 7.04457911e-01 2.20102632e-02 1.15369122e-01 2.18167069e-09 9.66734438e-01
3.80214739e+00 7.36497504e-01 2.18004964e-02 1.23402364e-01 2.08684224e-09 9.68649657e-01
3.63764214e+00 7.43389229e-01 2.19770144e-02 1.28014789e-01 2.10296102e-09 9.68181013e-01
3.62362195e+00 6.85029369e-01 2.21169939e-02 1.20610706e-01 1.94343427e-09 9.62749839e-01
3.59346717e+00 6.81419876e-01 2.19034855e-02 1.19854945e-01 2.20953901e-09 9.68923714e-01
3.48210246e+00 7.31634002e-01 2.18942530e-02 1.21828007e-01 2.19299688e-09 9.58722918e-01
3.39550260e+00 6.91943462e-01 2.20440974e-02 1.19226396e-01 2.16691583e-09 9.58404061e-01
3.14944055e+00 6.76663356e-01 2.20707214e-02 1.22808441e-01 2.07254308e-09 9.64443431e-01
3.62153144e+00 6.87869097e-01 2.19165871e-02 1.19931972e-01 1.97758547e-09 9.57796640e-01
3.92694724e+00 7.19780166e-01 2.20915880e-02 1.22220618e-01 2.23067197e-09 9.63237786e-01
3.53972994e+00 7.09975830e-01 2.18352018e-02 1.25282263e-01 2.15079648e-09 9.62386249e-01
3.63739590e+00 6.92165495e-01 2.19455414e-02 1.19931434e-01 2.16803207e-09 9.67542049e-01
3.44856470e+00 7.14361717e-01 2.19391454e-02 1.13288839e-01 2.14269861e-09 9.58745041e-01
3.52650250e+00 7.20918251e-01 2.22439909e-02 1.19009204e-01 2.05837679e-09 9.64533012e-01
3.23104248e+00 7.41374157e-01 2.18446065e-02 1.25760667e-01 2.08894426e-09 9.69909548e-01
3.98415685e+00 7.14928661e-01 2.24449319e-02 1.17282398e-01 2.17273688e-09 9.61525077e-01
