# z  H_LCDM[1/Mpc]  H_GREA[1/Mpc]  H_ratio-1  w_GREA
0.000000000e+00 2.334948666e-04 2.334948683e-04 6.910839678e-09 -9.921100814e-01
8.062497754e-04 2.335769971e-04 2.335785480e-04 6.639416591e-06 -9.924104417e-01
1.613149590e-03 2.336592975e-04 2.336623364e-04 1.300548025e-05 -9.927107241e-01
2.420699966e-03 2.337417681e-04 2.337462338e-04 1.910568954e-05 -9.930109275e-01
3.228901431e-03 2.338244091e-04 2.338302408e-04 2.494063466e-05 -9.933110508e-01
4.037754507e-03 2.339072208e-04 2.339143576e-04 3.051090771e-05 -9.936110931e-01
4.847259721e-03 2.339902037e-04 2.339985845e-04 3.581710284e-05 -9.939110532e-01
5.657417599e-03 2.340733579e-04 2.340829221e-04 4.085981704e-05 -9.942109302e-01
6.468228666e-03 2.341566838e-04 2.341673707e-04 4.563964947e-05 -9.945107230e-01
7.279693449e-03 2.342401817e-04 2.342519306e-04 5.015720148e-05 -9.948104307e-01
8.091812476e-03 2.343238519e-04 2.343366022e-04 5.441307657e-05 -9.951100520e-01
8.904586273e-03 2.344076947e-04 2.344213859e-04 5.840788044e-05 -9.954095860e-01
9.718015369e-03 2.344917104e-04 2.345062822e-04 6.214222093e-05 -9.957090317e-01
1.053210029e-02 2.345758992e-04 2.345912913e-04 6.561670790e-05 -9.960083880e-01
1.134684157e-02 2.346602616e-04 2.346764137e-04 6.883195364e-05 -9.963076538e-01
1.216223974e-02 2.347447978e-04 2.347616498e-04 7.178857248e-05 -9.966068281e-01
1.297829531e-02 2.348295081e-04 2.348469999e-04 7.448718084e-05 -9.969059098e-01
1.379500884e-02 2.349143929e-04 2.349324645e-04 7.692839722e-05 -9.972048979e-01
1.461238084e-02 2.349994524e-04 2.350180439e-04 7.911284230e-05 -9.975037913e-01
1.543041184e-02 2.350846869e-04 2.351037384e-04 8.104113882e-05 -9.978025890e-01
1.624910238e-02 2.351700968e-04 2.351895486e-04 8.271391165e-05 -9.981012899e-01
1.706845299e-02 2.352556823e-04 2.352754748e-04 8.413178766e-05 -9.983998928e-01
1.788846420e-02 2.353414438e-04 2.353615174e-04 8.529539216e-05 -9.986983968e-01
1.870913655e-02 2.354273816e-04 2.354476767e-04 8.620536189e-05 -9.989968008e-01
1.953047056e-02 2.355134960e-04 2.355339532e-04 8.686232971e-05 -9.992951037e-01
2.035246677e-02 2.355997872e-04 2.356203473e-04 8.726693060e-05 -9.995933044e-01
2.117512572e-02 2.356862557e-04 2.357068593e-04 8.741980163e-05 -9.998914019e-01
2.199844794e-02 2.357729017e-04 2.357934897e-04 8.732158196e-05 -1.000189395e+00
2.282243396e-02 2.358597255e-04 2.358802389e-04 8.697291282e-05 -1.000487283e+00
